epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
10,433.388,1.56237,1.70982,1.36593,0.17967,0.2517,0.12372,0.0418,2.01052,2.63269,1.9381,0.00184588,0.00184588,0.00184588
11,473.936,1.48455,1.56889,1.31758,0.34462,0.1869,0.19342,0.07435,1.86467,2.8041,1.77066,0.00181093,0.00181093,0.00181093
12,515.802,1.40415,1.44506,1.29179,0.23834,0.31558,0.18917,0.06376,1.97901,2.45062,1.92825,0.00177281,0.00177281,0.00177281
13,556.25,1.35665,1.33075,1.24779,0.34,0.13054,0.17558,0.06888,1.85296,3.11327,1.7756,0.00173168,0.00173168,0.00173168
14,595.588,1.32193,1.27142,1.20536,0.20462,0.29932,0.15909,0.06243,1.70577,2.5134,1.68209,0.0016877,0.0016877,0.0016877
15,634.847,1.26948,1.22019,1.18367,0.30124,0.23755,0.18666,0.07136,1.90748,2.50915,1.82201,0.00164105,0.00164105,0.00164105
16,675.079,1.22975,1.1707,1.17343,0.35689,0.35203,0.28759,0.13262,1.74689,2.24979,1.62948,0.00159191,0.00159191,0.00159191
17,716.524,1.18425,1.092,1.15709,0.24333,0.38666,0.20747,0.09773,1.74074,2.22357,1.6129,0.00154047,0.00154047,0.00154047
18,757.503,1.15514,1.06801,1.1471,0.41872,0.38435,0.32243,0.14945,1.72694,2.15179,1.638,0.00148694,0.00148694,0.00148694
19,798.653,1.12759,1.01824,1.12117,0.35422,0.31122,0.24105,0.10481,1.70085,2.36843,1.63384,0.00143152,0.00143152,0.00143152
20,840.937,1.09194,1.01592,1.12982,0.43023,0.45578,0.41598,0.18801,1.66803,2.31862,1.40517,0.00137444,0.00137444,0.00137444
21,882.284,1.04904,0.94375,1.09673,0.41499,0.44218,0.35303,0.16207,1.64578,1.9879,1.56541,0.00131593,0.00131593,0.00131593
22,924.214,1.01486,0.90767,1.08107,0.37702,0.42007,0.33911,0.16219,1.65556,2.1971,1.52695,0.0012562,0.0012562,0.0012562
23,963.776,1.03924,0.90747,1.07243,0.4926,0.45238,0.44469,0.20886,1.64622,2.01357,1.59935,0.00119551,0.00119551,0.00119551
24,1005.26,1.01495,0.90248,1.08322,0.34058,0.39116,0.29815,0.13754,1.66762,2.06041,1.53859,0.00113408,0.00113408,0.00113408
